date,items,sales,credit card,customer name,street address,state,country,ZIP code
3/12/2014,Product 10,2548.86,maestro,Verna Twomey,8 Coolidge Alley,Illinois,United States,61656
8/7/2015,Product 10,852.46,jcb,Misti Limeburn,964 Eliot Court,South Carolina,United States,29610
9/17/2015,Product 1,116.79,diners-club-carte-blanche,Wilhelm Duiguid,16933 Paget Avenue,Arizona,United States,85010
7/20/2014,Service 1,2202.6,instapayment,Rodney Heaford,5 1st Point,California,United States,94142
5/9/2017,Product 9,2522.38,jcb,Idalina Kinglesyd,0511 Prairie Rose Circle,Pennsylvania,United States,19125
1/19/2015,Service 2,390.31,jcb,Janene Rickford,8 Katie Parkway,Arizona,United States,85271
7/19/2013,Product 10,2564.58,jcb,Chester Addicott,4153 Crownhardt Drive,Michigan,United States,49006
9/20/2013,Product 8,3782.71,diners-club-enroute,Carri Waddilove,736 Fordem Plaza,New York,United States,10260
2/10/2017,Product 2,2172.3,americanexpress,Hesther O'Dooghaine,99282 Katie Point,Arkansas,United States,72209
9/29/2014,Product 3,4601.9,jcb,Devinne Fallon,221 Pawling Crossing,Florida,United States,33954
2/27/2016,Product 8,990.08,mastercard,Richard Gheorghe,584 Stoughton Point,Virginia,United States,23436
6/23/2017,Product 6,3747.39,jcb,Allina Gimbart,047 Forster Road,Iowa,United States,50369
5/14/2017,Product 2,721.57,americanexpress,Michaela Lytle,722 Union Court,New York,United States,10009
2/26/2016,Product 1,4139.13,mastercard,Aimee Banaszkiewicz,862 Donald Way,California,United States,95823
12/25/2014,Product 8,2905.14,jcb,Kellby Bum,77 Hagan Junction,Maryland,United States,20816
7/31/2013,Service 1,4236.53,jcb,Margaretha Cranstoun,38028 Mitchell Park,Illinois,United States,61605
8/14/2013,Service 6,1650.79,jcb,Jay Hoofe,98174 Talisman Way,California,United States,92725
4/17/2016,Product 2,2603.59,china-unionpay,Concettina Cartmale,252 Norway Maple Crossing,West Virginia,United States,25336
3/24/2015,Product 5,2227.04,diners-club-us-ca,Grissel Maundrell,30111 Vidon Circle,Washington,United States,98140
8/4/2014,Product 10,641.15,switch,Estel Folker,0340 Thompson Road,Kentucky,United States,40210
8/12/2016,Service 1,1831.06,laser,Dona Frammingham,16137 Kim Road,California,United States,92160
4/29/2017,Product 1,563.69,jcb,Chucho Zouch,0419 Dovetail Park,Washington,United States,99260
9/16/2015,Service 3,3833.61,jcb,Ignacio McBride,58 Meadow Valley Drive,Georgia,United States,31205
6/16/2016,Product 10,1434.36,jcb,Tiler Pattington,286 Di Loreto Crossing,North Dakota,United States,58207
2/27/2017,Service 2,1757.09,jcb,Mariquilla Schonfeld,7120 Lien Lane,Kansas,United States,66642
9/13/2014,Product 7,2160.31,jcb,Dorette Sunley,246 Merchant Alley,Texas,United States,79950
4/14/2014,Product 2,4006.42,jcb,Keene Tyers,85637 Algoma Hill,Kentucky,United States,40515
8/29/2013,Product 10,2159.5,jcb,Alfonse Rush,8358 Evergreen Drive,Georgia,United States,30033
1/23/2016,Product 2,715.52,mastercard,Terri Firminger,46 Sage Circle,New York,United States,10039
11/7/2016,Service 3,2745.59,china-unionpay,Gal Schutter,5 Holy Cross Trail,Texas,United States,78778
5/7/2014,Product 9,4517.46,china-unionpay,Jsandye Millmoe,5 Grim Way,Florida,United States,33175
8/22/2014,Service 3,1543.45,jcb,Hetty Tidbold,9575 New Castle Avenue,New York,United States,10459
8/23/2016,Product 2,3574.22,laser,Chrystal Dullard,6 Waxwing Junction,California,United States,94177
3/4/2014,Product 1,3695.32,laser,Leta Hoyland,9 Thierer Alley,Texas,United States,88541
9/8/2013,Product 8,2153.69,maestro,Tann Richings,14807 Shoshone Place,Arizona,United States,85015
11/1/2014,Product 3,1319.49,jcb,Martita Nicolls,86986 Iowa Lane,Alabama,United States,35225
7/2/2016,Product 6,1024.25,bankcard,Jessey Abbess,4 Roxbury Road,Florida,United States,32964
7/23/2014,Product 3,3079.77,jcb,Modestine Doblin,8 Crest Line Hill,Ohio,United States,45208
8/12/2016,Product 5,4132.4,maestro,Konstantine Hansmann,7812 Carey Hill,District of Columbia,United States,20010
2/22/2016,Product 3,4959.31,solo,Matthus Ellins,1245 Sutherland Road,Colorado,United States,80217
2/5/2014,Service 1,4266.86,jcb,Nehemiah Broadbent,50742 Cottonwood Point,Tennessee,United States,38168
12/11/2016,Product 10,3031.56,maestro,Carlynn Wigmore,4 Village Center,Virginia,United States,23293
12/17/2014,Product 6,1097.82,jcb,Tito Taysbil,41 Wayridge Circle,Missouri,United States,65805
5/22/2016,Product 9,125.43,mastercard,Anna-diana Jatczak,068 Linden Pass,California,United States,95064
12/25/2013,Product 5,3778.14,diners-club-carte-blanche,Frederic Allder,438 Bluestem Circle,California,United States,91125
10/13/2013,Product 4,2697.33,switch,Carlota Stalley,8 John Wall Parkway,Illinois,United States,60630
3/4/2015,Product 9,4584.98,jcb,Ethelin Klosges,9 Mccormick Place,Tennessee,United States,37914
11/12/2013,Service 2,4775.6,jcb,Blair Motton,69211 Columbus Point,California,United States,94132
5/23/2016,Product 6,3198.14,jcb,Jeni Clooney,3420 Stephen Trail,Massachusetts,United States,1114
12/18/2014,Product 4,3662.91,china-unionpay,Karalynn Wesley,3748 Almo Hill,New York,United States,10270
4/14/2016,Service 5,4665.7,switch,Gisele Boatright,22 Scoville Trail,Florida,United States,34276
12/22/2013,Service 2,4603.21,visa-electron,Brianna Petrak,86673 Monterey Pass,Texas,United States,78721
10/23/2014,Service 1,214.08,jcb,Freddie Geist,7 Steensland Circle,District of Columbia,United States,20557
1/6/2015,Product 9,4643.26,mastercard,Mildrid Blonden,235 Hanover Circle,Alabama,United States,35263
6/8/2016,Product 1,1341.42,diners-club-carte-blanche,Odelle Kleinerman,96050 Schmedeman Lane,Delaware,United States,19892
6/11/2014,Service 1,3559.52,jcb,Hamlen Pinyon,35 Summit Terrace,Minnesota,United States,55458
9/19/2015,Product 4,520.93,jcb,Guendolen Gatty,21642 School Street,Ohio,United States,43210
11/19/2016,Service 2,51.96,jcb,Merrie Start,525 Tony Road,California,United States,90810
11/5/2013,Service 5,2544.52,jcb,Starlin Cashley,91 Carberry Way,Florida,United States,33615
3/4/2014,Product 5,3210.22,jcb,Tabor Lintot,69920 Burning Wood Street,New York,United States,13251
11/4/2016,Product 6,963.16,jcb,Herculie Cressy,6 Mcguire Court,Texas,United States,79905
7/22/2015,Product 4,2888.14,visa,Meara Peetermann,17 Dottie Court,South Carolina,United States,29225
1/9/2016,Product 4,4372.76,jcb,Amberly Pray,54 Iowa Terrace,Missouri,United States,63169
4/8/2015,Product 3,2955.16,jcb,Bonnie Kasperski,04758 Mariners Cove Lane,North Carolina,United States,27105
8/3/2016,Product 7,3072.33,visa-electron,Brewer Tomaskunas,7 Shasta Court,Arizona,United States,85040
9/8/2016,Product 1,3492.23,diners-club-enroute,Peta Joel,9213 Maywood Pass,Texas,United States,77090
4/5/2016,Product 2,3495.66,jcb,Neille Bettridge,58747 Goodland Junction,Florida,United States,32209
6/3/2016,Product 8,3661.7,jcb,Ode Gamage,1325 Green Ridge Lane,New York,United States,12325
11/13/2016,Product 6,3335.67,jcb,Saxon Trimbey,05 Mesta Crossing,Oregon,United States,97206
11/26/2013,Product 9,435.36,china-unionpay,Townie Enriquez,61415 Jenifer Alley,Mississippi,United States,39204
1/29/2015,Product 5,4203.54,jcb,Sharai Brimmicombe,2671 Lukken Pass,Pennsylvania,United States,19184
2/15/2014,Service 6,88.94,jcb,Rabbi Chartman,6 Independence Point,Oklahoma,United States,73142
3/24/2017,Product 8,4024.72,diners-club-international,Lorena Basnett,9848 Linden Park,New Mexico,United States,87195
6/17/2017,Product 4,1901.48,visa-electron,Chris Willavoys,151 Garrison Terrace,Kentucky,United States,40505
3/23/2015,Service 4,476.26,jcb,Darsey Sine,52 Shasta Junction,Georgia,United States,30911
6/21/2015,Service 3,2342.59,jcb,Melita Stooke,3 Manitowish Terrace,Virginia,United States,23260
10/24/2016,Service 5,3109.11,jcb,Felipa Mcwhinnie,003 Garrison Avenue,Texas,United States,78465
1/28/2017,Service 3,289.3,jcb,Jolynn Standage,053 Granby Terrace,South Carolina,United States,29424
5/23/2016,Service 4,3537.59,instapayment,Nikos Kindley,6 Knutson Circle,Illinois,United States,62525
4/9/2017,Product 2,2765.34,jcb,Cornela Lorraine,18159 Hauk Pass,Kentucky,United States,40581
2/27/2016,Service 6,2259.13,americanexpress,Wendie McElrath,78890 Almo Park,Louisiana,United States,70815
4/17/2014,Service 5,4243.41,jcb,Jeanna Mor,14 Pond Junction,Nebraska,United States,68134
8/1/2016,Product 3,4072.31,mastercard,Querida Fourcade,7 Stang Pass,Virginia,United States,22212
10/8/2013,Product 5,134.42,jcb,Emilee Melby,8 Donald Avenue,New Jersey,United States,7188
5/5/2017,Product 9,1452.06,mastercard,Monika Mensler,011 Kropf Junction,Nevada,United States,89706
3/25/2015,Service 3,111.82,jcb,Faith Hannent,56600 Waxwing Trail,New Mexico,United States,87190
4/28/2017,Service 2,2391.57,mastercard,Dur Dews,46733 Sauthoff Parkway,Arizona,United States,85015
6/23/2017,Service 3,744.18,bankcard,Lindi Greg,7076 Lawn Court,District of Columbia,United States,20508
12/12/2015,Product 5,381.77,switch,Ninnetta Prewett,64162 Everett Alley,Washington,United States,99260
8/1/2016,Product 2,3996.47,jcb,Ivan Kleinplac,8956 2nd Point,Florida,United States,33625
10/31/2015,Product 2,2568.77,diners-club-carte-blanche,Mariya Scadding,785 Oakridge Place,Colorado,United States,80209
11/18/2013,Service 2,975.56,visa-electron,Porter Nock,7915 Oak Valley Place,Texas,United States,88525
5/3/2016,Product 4,4490.87,solo,Toiboid Hair,21 Mccormick Road,Oklahoma,United States,74170
10/3/2015,Product 5,973.01,jcb,Cissy Stitt,3711 Weeping Birch Pass,Texas,United States,75392
1/16/2014,Product 7,1347.07,china-unionpay,Lynelle Corsar,5281 Main Circle,Florida,United States,32118
4/9/2015,Product 1,2465.96,mastercard,Charmion Razzell,81185 Lillian Junction,South Dakota,United States,57188
11/30/2013,Product 6,2059.41,diners-club-us-ca,Ferd Jahnisch,9 Caliangt Street,Illinois,United States,61110
10/17/2014,Product 1,343.76,instapayment,Ronda Castagneto,1 Kennedy Place,Colorado,United States,80299
3/22/2015,Product 9,3890.44,jcb,Dill Dominicacci,93 Harper Road,Connecticut,United States,6705
3/12/2015,Product 2,2973.6,maestro,Wandie Casari,8 Blaine Plaza,Florida,United States,33731
5/5/2017,Service 2,4787.87,jcb,Nickie Baldinotti,6 Gerald Circle,Texas,United States,77299
12/9/2015,Product 3,2799.32,visa-electron,Theo Pettiward,84 Dapin Street,Washington,United States,98498
5/7/2015,Service 5,1531.82,mastercard,Deloris de Guerre,421 Spohn Center,Nevada,United States,89166
6/23/2017,Service 4,2644.53,americanexpress,Karlene Faux,06834 Bobwhite Terrace,South Carolina,United States,29615
